City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,dicabisagan,17.0818,122.4157,24.22,92,99,2.95,PH,1670265673
113,jamestown,42.097,-79.2353,7.53,31,0,5.14,US,1670265431
114,iskateley,67.6803,53.1512,-14.82,86,99,6.15,RU,1670265674
115,berdigestyakh,62.0989,126.6992,-24.0,96,100,3.02,RU,1670265675
116,pevek,69.7008,170.3133,-30.33,88,27,2.38,RU,1670265660
117,loralai,30.3705,68.598,9.93,32,0,1.63,PK,1670265676
118,mirnyy,62.5353,113.9611,-17.09,84,100,1.79,RU,1670265676
119,erenhot,43.6475,111.9767,-12.49,59,0,5.06,CN,1670265677
120,bakchar,57.0186,82.0711,-24.06,98,87,1.63,RU,1670265677
121,east london,-33.0153,27.9116,16.52,82,0,3.09,ZA,1670265678
122,san policarpo,12.1791,125.5072,26.57,76,100,4.55,PH,1670265679
123,udachnyy,66.4167,112.4,-21.42,76,100,6.19,RU,1670265680
124,thompson,55.7435,-97.8558,-28.91,63,20,3.6,CA,1670265680
125,fairbanks,64.8378,-147.7164,-10.78,86,75,0.0,US,1670265681
126,iranshahr,27.2025,60.6848,17.19,34,0,0.0,IR,1670265681
127,vomp,47.3333,11.6833,2.57,96,100,0.73,AT,1670265682
128,embrach,47.5056,8.5941,4.03,90,75,1.03,CH,1670265682
129,ust-kuyga,70.0167,135.6,-30.21,100,100,2.01,RU,1670265683
130,fukue,32.6881,128.8419,10.16,56,6,9.08,JP,1670265684
131,camacha,33.0833,-16.3333,16.68,68,20,3.6,PT,1670265684
132,adrar,20.5022,-10.0711,25.08,23,7,0.84,MR,1670265685
133,cidreira,-30.1811,-50.2056,23.39,82,97,5.05,BR,1670265630
134,esperance,-33.8667,121.9,15.69,83,100,2.04,AU,1670265687
135,yanam,16.7333,82.2167,23.09,77,10,2.19,IN,1670265688
136,cairns,-16.9167,145.7667,21.15,93,5,0.0,AU,1670265689
137,bluff,-46.6,168.3333,10.45,83,100,3.33,NZ,1670265689
138,ushuaia,-54.8,-68.3,10.79,49,75,11.83,AR,1670265690
139,huarmey,-10.0681,-78.1522,21.91,73,25,4.03,PE,1670265690
140,nanakuli,21.3906,-158.1547,26.13,72,0,0.0,US,1670265691
141,nevel,56.0209,29.9284,-7.56,86,100,3.67,RU,1670265692
142,bobon,12.5246,124.5636,24.76,85,100,2.84,PH,1670265692
143,buin,-33.7333,-70.75,32.81,17,0,5.8,CL,1670265693
144,abrau-dyurso,44.69,37.59,-1.3,75,79,4.85,RU,1670265693
145,georgetown,5.4112,100.3354,27.91,88,40,0.51,MY,1670265470
146,contamana,-7.3333,-75.0167,33.28,41,99,1.58,PE,1670265694
147,coihueco,-36.6167,-71.8333,28.41,26,0,3.09,CL,1670265415
148,severo-yeniseyskiy,60.3725,93.0408,-20.67,98,100,2.86,RU,1670265695
149,oktyabrskiy,54.4815,53.471,-20.74,100,97,0.92,RU,1670265695
150,sao filipe,14.8961,-24.4956,22.61,68,34,3.18,CV,1670265696
151,douentza,14.9951,-2.9517,29.88,19,65,2.44,ML,1670265697
152,saint-philippe,-21.3585,55.7679,24.77,81,100,5.56,RE,1670265697
153,husavik,66.0449,-17.3389,-0.32,81,83,4.77,IS,1670265698
154,anadyr,64.75,177.4833,-5.72,85,100,14.0,RU,1670265698
155,yellapur,14.9667,74.7167,21.91,58,93,1.58,IN,1670265699
156,aratoca,6.6935,-73.0208,20.9,60,19,2.89,CO,1670265699
157,beringovskiy,63.05,179.3167,-0.26,98,100,18.7,RU,1670265700
158,cherskiy,68.75,161.3,-27.42,90,100,2.21,RU,1670265700
159,buraydah,26.326,43.975,18.25,68,99,5.37,SA,1670265701
160,torbay,47.6666,-52.7314,5.16,95,100,4.12,CA,1670265701
161,avarua,-21.2078,-159.775,23.03,94,100,3.6,CK,1670265702
162,pangnirtung,66.1451,-65.7125,-3.0,93,100,6.17,CA,1670265703
163,barrow,71.2906,-156.7887,3.01,70,0,14.4,US,1670265703
164,margate,51.3813,1.3862,7.61,86,100,1.34,GB,1670265468
165,qaqortoq,60.7167,-46.0333,-2.88,72,57,4.85,GL,1670265704
166,vilyuysk,63.7553,121.6247,-24.74,98,100,2.03,RU,1670265705
167,carballo,43.213,-8.691,13.26,79,100,1.36,ES,1670265706
168,hamilton,39.1834,-84.5333,9.8,53,40,3.09,US,1670264927
169,muzhi,65.3667,64.6667,-16.76,97,72,2.14,RU,1670265707
170,albury,-36.0833,146.9167,11.12,100,2,0.9,AU,1670265708
171,banjar,-8.19,114.9675,25.75,81,100,0.7,ID,1670265709
172,kenai,60.5544,-151.2583,-3.25,93,100,4.63,US,1670265709
173,lakes entrance,-37.8811,147.981,12.87,85,100,5.26,AU,1670265710
174,tiquicheo,18.8833,-100.7333,32.73,32,0,1.76,MX,1670265710
175,mount gambier,-37.8333,140.7667,7.92,86,1,2.89,AU,1670265711
176,smolenka,52.1352,113.4974,-8.96,53,100,5.0,RU,1670265711
177,nyurba,63.2842,118.3319,-21.87,99,100,1.17,RU,1670265712
178,kirakira,-10.4544,161.9205,26.06,85,100,1.98,SB,1670265712
179,scottsbluff,41.8666,-103.6672,3.77,59,20,2.57,US,1670265713
180,butaritari,3.0707,172.7902,27.08,81,100,7.19,KI,1670265713
181,anloga,5.7947,0.8973,27.74,80,55,4.78,GH,1670265714
182,talnakh,69.4865,88.3972,-3.77,96,100,6.12,RU,1670265714
183,lucapa,-8.4192,20.7447,16.97,97,64,0.85,AO,1670265715
184,sao felix do xingu,-6.6447,-51.995,26.24,77,100,1.17,BR,1670265715
185,klaksvik,62.2266,-6.589,4.51,68,90,11.73,FO,1670265716
186,leshukonskoye,64.8989,45.7622,-8.54,93,100,3.78,RU,1670265716
187,khani,41.9563,42.9566,2.76,81,100,2.27,GE,1670265716
188,san miguel,13.4833,-88.1833,31.78,48,0,1.54,SV,1670265717
189,alice springs,-23.7,133.8833,20.75,30,0,0.0,AU,1670265609
190,nhamunda,-2.1861,-56.7131,32.39,49,65,1.84,BR,1670265718
191,paamiut,61.994,-49.6678,2.91,75,100,15.43,GL,1670265642
192,puerto quijarro,-17.7833,-57.7667,28.61,77,100,0.58,BO,1670265718
193,candido mendes,-1.4467,-45.7167,28.62,66,100,3.36,BR,1670265719
194,sancti spiritus,21.9297,-79.4425,27.26,50,0,6.01,CU,1670265719
195,maneadero,31.7167,-116.5667,17.83,78,0,0.89,MX,1670265720
196,tuatapere,-46.1333,167.6833,8.47,95,100,2.53,NZ,1670265721
197,aykhal,66.0,111.5,-23.33,96,100,6.23,RU,1670265721
198,provideniya,64.3833,-173.3,-2.54,93,100,9.41,RU,1670265722
199,haines junction,60.7522,-137.5108,-13.43,98,92,0.91,CA,1670265723
200,touros,-5.1989,-35.4608,28.3,62,16,6.54,BR,1670265724
201,bengkulu,-3.8004,102.2655,23.52,91,100,1.38,ID,1670265725
202,ocampo,21.65,-101.5,20.93,13,0,2.92,MX,1670265725
203,manitouwadge,49.1215,-85.8403,-6.16,90,100,2.98,CA,1670265726
204,saint anthony,45.0205,-93.218,-0.4,67,40,5.14,US,1670265727
205,bilma,18.6853,12.9164,24.74,17,1,2.39,NE,1670265699
206,nsanje,-16.92,35.262,29.34,51,60,1.3,MW,1670265727
207,kavieng,-2.5744,150.7967,26.61,81,100,2.04,PG,1670265701
208,syedove,47.0768,38.156,-1.52,59,1,12.06,UA,1670265728
209,bariadi,-2.8,33.9833,21.45,63,100,3.06,TZ,1670265729
210,vakhrushev,48.9833,142.9667,-9.29,69,8,3.62,RU,1670265730
211,ribeira grande,38.5167,-28.7,17.22,67,20,8.49,PT,1670265674
212,luzhou,28.8724,105.4405,10.44,70,100,0.87,CN,1670265731
